ID;COLOR;MARCA;KILOMETRAJE
146;Verde;Jaguar;53759.507
147;Rojo;Mazda;1272.852
148;Azul;Toyota;27351.187
149;Amarillo;Rivian;34512.302
150;Azul;Ferrari;57021.175
151;Blanco;Peugeot;49886.395
152;Azul;Opel;80420.477
153;Azul;Mercedes-Benz;34582.08
154;Azul;Porsche;73650.739
155;Azul;Ford;81562.395
156;Rojo;CUPRA;39297.911
157;Azul;Porsche;39967.237
158;Azul;Ferrari;75843.4
159;Negro;Volkswagen;53015.93
160;Amarillo;Volvo;90803.631
161;Rojo;Lamborghini;2375.054
162;Verde;Citroën;36914.012
163;Blanco;DS;19355.6
164;Amarillo;Smart;39775.918
165;Azul;Nissan;47241.839
166;Blanco;CUPRA;84222.876
167;Blanco;Koenigsegg;82346.919
168;Blanco;Abarth;77520.174
169;Azul;Nissan;88040.993
170;Verde;Maserati;82362.845
171;Negro;Ferrari;62197.994
172;Amarillo;Koenigsegg;38140.991
173;Rojo;AstonMartin;57635.986
174;Blanco;Pagani;71446.018
175;Amarillo;Polestar;62749.677
176;Azul;Bugatti;47331.9
177;Azul;Mercedes-Benz;68406.164
178;Verde;Porsche;72144.693
179;Azul;Toyota;92237.562
180;Rojo;Opel;22201.294
181;Blanco;Rolls-Royce;34845.965
182;Azul;Rolls-Royce;15332.606
183;Azul;Rivian;78453.352
184;Azul;Tesla;44091.896
185;Amarillo;Maserati;48685.73
186;Rojo;Suzuki;59738.992
187;Blanco;Renault;78168.231
188;Rojo;Rivian;99105.118
189;Negro;Ford;87305.003
190;Amarillo;Lamborghini;25969.29
191;Azul;Hyundai;26091.108
192;Negro;Lotus;63170.481
193;Verde;Volkswagen;61306.841
194;Verde;Toyota;99562.839
195;Azul;Tesla;98419.702
196;Negro;Nissan;4.247
197;Blanco;AlfaRomeo;66594.338
198;Verde;AlfaRomeo;39449.195
199;Negro;Suzuki;80202.579
200;Amarillo;Ford;41180.238
201;Blanco;Subaru;138.181
202;Rojo;Porsche;71231.234
203;Verde;Audi;24265.499
204;Blanco;Lamborghini;27789.842
205;Amarillo;Rivian;26846.748
206;Blanco;Mazda;47164.497
207;Amarillo;Porsche;72365.464
208;Blanco;Suzuki;12796.962
209;Azul;Volvo;47547.915
210;Negro;Fiat;16518.727
211;Blanco;Ford;76521.1
212;Blanco;Renault;52197.712
213;Amarillo;Volkswagen;15064.363
214;Verde;Lotus;71198.878
215;Verde;Porsche;10128.163
216;Rojo;Opel;51473.461
217;Azul;Polestar;76711.863
218;Verde;Dacia;12069.365
219;Verde;Opel;94504.028
220;Verde;Infiniti;81579.83
221;Rojo;Mazda;87272.671
222;Azul;McLaren;21366.666
223;Rojo;Pagani;86915.308
224;Negro;Mercedes-Benz;35843.032
225;Blanco;Suzuki;36593.791
226;Negro;Lotus;25901.792
227;Rojo;Honda;80927.781
228;Verde;Mercedes-Benz;65639.003
229;Amarillo;Rolls-Royce;70432.574
230;Verde;Hyundai;94445.625
231;Verde;SEAT;59078.054
232;Rojo;Rivian;8609.518
233;Rojo;Ferrari;52019.711
234;Blanco;Koenigsegg;30756.406
235;Negro;Alpine;11401.483
236;Amarillo;Mercedes-Benz;8423.537
237;Negro;Mitsubishi;15032.392
238;Rojo;Alpine;1150.196
239;Negro;Nissan;91261.056
240;Verde;Koenigsegg;19720.817
241;Blanco;SEAT;96268.037
242;Negro;BMW;72331.418
243;Negro;Skoda;22207.116
244;Azul;Lexus;95878.803
245;Azul;Smart;8281.644
246;Rojo;Citroën;31392.092
247;Amarillo;AlfaRomeo;96257.923
248;Amarillo;Abarth;70622.706
249;Negro;Koenigsegg;18597.49
250;Rojo;Ferrari;15454.71
251;Amarillo;Ford;15026.213
252;Negro;Koenigsegg;67252.538
253;Verde;Dacia;42828.541
254;Verde;Peugeot;93375.138
255;Azul;Ford;20527.121
256;Blanco;Honda;1389.859
257;Amarillo;Porsche;34134.623
258;Rojo;Honda;16238.358
259;Blanco;MINI;42287.897
260;Negro;AstonMartin;84650.805
261;Amarillo;Skoda;60923.015
262;Blanco;AstonMartin;87071.197
263;Blanco;Bentley;51540.114
264;Azul;BMW;87530.953
265;Blanco;AlfaRomeo;8542.833
266;Negro;Infiniti;93262.694
267;Azul;Mercedes-Benz;61810.119
268;Azul;Rivian;80041.447
269;Azul;BMW;18947.186
270;Verde;Volkswagen;97624.08
271;Amarillo;Suzuki;48133.685
272;Azul;Fiat;38264.702
273;Verde;Infiniti;94894.76
274;Azul;Infiniti;95836.787
275;Negro;Rivian;74406.004
276;Blanco;Rolls-Royce;84001.941
277;Amarillo;Peugeot;42235.148
278;Negro;Fiat;19228.317
279;Negro;Bentley;20038.248
280;Verde;Toyota;13063.724
281;Amarillo;Honda;5169.904
282;Azul;Skoda;92382.203
283;Amarillo;Volkswagen;83127.139
284;Rojo;CUPRA;65508.488
285;Verde;Subaru;65103.91
286;Negro;Rivian;45029.654
287;Amarillo;Alpine;7754.099
288;Blanco;Maserati;98263.106
289;Azul;Porsche;23799.384
290;Verde;Peugeot;26986.964
291;Verde;Ford;37815.714
292;Amarillo;AlfaRomeo;37063.27
293;Verde;Infiniti;76017.419
294;Negro;Toyota;83594.13
295;Verde;Smart;38947.412
296;Amarillo;Infiniti;10530.54
297;Negro;DS;95679.682
298;Verde;Subaru;17176.493
299;Negro;Rivian;53637.37
300;Blanco;Jaguar;4456.682
301;Blanco;BMW;12805.5
302;Verde;Koenigsegg;87492.683
303;Rojo;Ferrari;62537.902
304;Azul;Infiniti;18994.901
305;Amarillo;Renault;46077.252
306;Verde;Rivian;90948.537
307;Azul;Lamborghini;17266.63
308;Amarillo;AstonMartin;65461.474
309;Amarillo;Alpine;77859.61
310;Azul;Volvo;4548.049
311;Blanco;DS;86650.006
312;Blanco;Honda;2830.15
313;Blanco;Jaguar;14845.881
314;Negro;AstonMartin;86118.83
315;Blanco;Rolls-Royce;19396.805
316;Negro;Citroën;86755.647
317;Blanco;Mazda;68227.272
318;Verde;Mitsubishi;87290.946
319;Verde;Audi;71599.467
320;Verde;Abarth;86091.442
321;Azul;Mazda;12378.667
322;Negro;Tesla;60024.456
323;Blanco;Jeep;77246.229
324;Amarillo;Polestar;13370.978
325;Amarillo;Maserati;40527.058
326;Blanco;Lexus;21172.312
327;Amarillo;Jaguar;54087.2
328;Negro;Abarth;16600.296
329;Rojo;LandRover;29716.488
330;Azul;Koenigsegg;82631.734
331;Azul;Ferrari;35732.704
332;Azul;Abarth;89964.052
333;Amarillo;Ferrari;55606.016
334;Blanco;Volkswagen;57078.565
335;Rojo;Dacia;3772.287
336;Amarillo;Fiat;80675.713
337;Rojo;Mitsubishi;60234.838
338;Amarillo;KIA;11095.527
339;Negro;Renault;60988.045
340;Amarillo;Smart;98206.701
341;Blanco;Rivian;72861.395
342;Rojo;Lexus;58696.68
343;Negro;Rivian;38396.021
344;Amarillo;Ferrari;70508.126
345;Rojo;Ford;15330.919
346;Verde;Mercedes-Benz;68816.836
347;Azul;Nissan;64884.578
348;Azul;Audi;39592.667
349;Azul;Rolls-Royce;89148.557
350;Rojo;DS;276.021
351;Blanco;Mercedes-Benz;48628.846
352;Verde;Alpine;45973.037
353;Amarillo;Volkswagen;41532.837
354;Blanco;Maserati;77045.572
355;Amarillo;BMW;24245.477
356;Azul;McLaren;17957.433
357;Blanco;Peugeot;42196.937
358;Amarillo;Infiniti;75333.764
359;Rojo;LandRover;8812.058
360;Blanco;Porsche;57681.226
361;Blanco;Maserati;71452.811
362;Azul;Lotus;12075.353
363;Negro;DS;83410.813
364;Azul;Mitsubishi;1008.048
365;Verde;Koenigsegg;23455.955
366;Verde;CUPRA;1850.792
367;Rojo;AlfaRomeo;74766.174
368;Azul;Smart;23062.419
369;Azul;Tesla;66006.221
370;Rojo;Polestar;86077.235
371;Rojo;Subaru;53831.204
372;Negro;Bentley;65159.834
373;Azul;Hyundai;70292.699
374;Amarillo;Jeep;34504.97
375;Verde;Porsche;94837.805
376;Amarillo;Smart;72279.267
377;Blanco;Skoda;30318.437
378;Amarillo;Audi;74619.21
379;Negro;LandRover;49360.906
380;Negro;Bentley;52976.86
381;Rojo;Tesla;32463.33
382;Blanco;Infiniti;19488.617
383;Negro;Polestar;85356.964
384;Blanco;Alpine;5768.52
385;Negro;Abarth;10741.238
386;Azul;SsangYong;38918.397
387;Azul;Pagani;20922.258
388;Blanco;MINI;97513.05
389;Amarillo;Renault;32780.01
390;Amarillo;Alpine;52457.098
391;Verde;CUPRA;46676.609
392;Negro;AstonMartin;30206.294
393;Blanco;SsangYong;5400.741
394;Amarillo;Pagani;15872.758
395;Negro;Abarth;79213.334
396;Amarillo;Pagani;92850.797
397;Azul;Toyota;66895.292
398;Verde;Dacia;25155.391
399;Azul;Toyota;20966.369
400;Negro;Alpine;64694.247
401;Amarillo;Hyundai;45698.694
402;Azul;Lexus;73919.227
403;Amarillo;Fiat;19130.686
404;Rojo;Lexus;15133.971
405;Verde;Alpine;12125.785
406;Negro;Maserati;71269.516
407;Negro;Jeep;17932.268
408;Azul;Alpine;33963.627
409;Azul;Mitsubishi;31189.007
410;Rojo;Citroën;57765.144
411;Verde;Renault;84579.043
412;Rojo;Ferrari;23392.162
413;Rojo;Rivian;40237.026
414;Negro;Honda;47049.673
415;Amarillo;Alpine;59634.381
416;Negro;Lexus;90393.966
417;Azul;Dacia;25251.419
418;Rojo;BMW;70039.846
419;Amarillo;DS;37339.862
420;Rojo;Renault;94453.1
421;Azul;Mazda;54111.397
422;Azul;Rivian;7252.007
423;Verde;Mercedes-Benz;20574.232
424;Amarillo;Jeep;31643.391
425;Blanco;McLaren;43984.138
426;Blanco;Ford;62913.294
427;Blanco;Lotus;18670.568
428;Azul;Subaru;71240.04
429;Negro;Mazda;93220.975
430;Rojo;SEAT;61945.831
431;Azul;Lexus;64223.867
432;Amarillo;Volkswagen;5687.35
433;Amarillo;KIA;95737.369
434;Amarillo;Porsche;37728.629
435;Blanco;Porsche;17306.413
436;Rojo;Tesla;28751.059
437;Rojo;Audi;77827.191
438;Rojo;Volkswagen;24733.217
439;Blanco;Ford;2168.442
440;Rojo;Rolls-Royce;20062.675
441;Verde;Citroën;53709.571
442;Negro;Ford;75695.511
443;Amarillo;Jaguar;82536.768
444;Rojo;AlfaRomeo;87017.111
445;Negro;Abarth;86829.165
446;Verde;Alpine;87927.802
447;Amarillo;AlfaRomeo;27034.208
448;Amarillo;Citroën;97113.844
449;Rojo;DS;69028.353
450;Amarillo;DS;47691.123
451;Azul;Infiniti;46027.774
452;Blanco;Porsche;25335.704
453;Negro;SsangYong;89182.609
454;Blanco;Lotus;85239.721
455;Verde;SEAT;95373.787
456;Amarillo;DS;42038.307
457;Rojo;Hyundai;56737.828
458;Verde;Renault;76215.72
459;Verde;CUPRA;41063.197
460;Verde;Smart;77077.095
461;Verde;Polestar;73811.146
462;Amarillo;Lexus;27513.486
463;Azul;Dacia;61680.574
464;Amarillo;Ferrari;15527.763
465;Blanco;Lotus;12114.382
466;Amarillo;Suzuki;47549.594
467;Verde;Volkswagen;32875.368
468;Azul;Nissan;9359.874
469;Verde;Dacia;47931.951
470;Azul;Ferrari;22065.745
471;Azul;Mercedes-Benz;89704.192
472;Verde;Hyundai;27802.263
473;Amarillo;Alpine;39732.657
474;Blanco;Audi;97158.322
475;Blanco;LandRover;98738.094
476;Negro;Koenigsegg;16892.802
477;Azul;Peugeot;98717.562
478;Azul;Maserati;11169.756
479;Verde;Rolls-Royce;92238.823
480;Blanco;Pagani;95834.001
481;Azul;Mazda;2703.651
482;Verde;Fiat;16393.196
483;Rojo;Mercedes-Benz;21493.404
484;Blanco;Volkswagen;84279.778
485;Rojo;Mercedes-Benz;38215.758
486;Amarillo;LandRover;90233.474
487;Verde;Mazda;75556.331
488;Negro;Rivian;30557.694
489;Azul;Abarth;24506.84
490;Rojo;SsangYong;53533.676
491;Rojo;DS;85184
492;Rojo;Citroën;96084.83
493;Blanco;Mazda;76449.352
494;Negro;Tesla;91218.103
495;Rojo;McLaren;89656.024
496;Negro;Mazda;45864.384
497;Amarillo;Mitsubishi;838.129
498;Negro;Lamborghini;7218.77
499;Blanco;Fiat;86463.313
500;Negro;Alpine;98953.977
501;Amarillo;Alpine;92617.816
502;Negro;Suzuki;41844.018
503;Rojo;Infiniti;10502.95
504;Blanco;Volvo;6175.588
505;Verde;Lotus;3895.591
506;Negro;Tesla;35314.206
507;Amarillo;Rivian;454.997
508;Verde;Volvo;45090.867
509;Amarillo;Audi;99322.559
510;Blanco;BMW;36130.895
511;Negro;Citroën;5426.593
512;Blanco;AlfaRomeo;54394.626
513;Verde;Opel;86524.789
514;Blanco;Bugatti;27262.261
515;Blanco;Citroën;64733.796
516;Blanco;Rivian;71383.022
517;Amarillo;Rivian;19737.786
518;Negro;Pagani;76818.976
519;Blanco;Maserati;57851.838
520;Azul;Peugeot;87032.039
521;Amarillo;BMW;18645.613
522;Rojo;Lotus;12961.141
523;Verde;SsangYong;70099.58
524;Rojo;Porsche;93475.631
525;Negro;Lamborghini;22648.777
526;Negro;Rolls-Royce;75218.273
527;Negro;Bentley;52534.089
528;Amarillo;Lotus;68301.933
529;Azul;Maserati;13382.467
530;Negro;Jeep;6220.769
531;Amarillo;Lamborghini;71816.507
532;Blanco;Fiat;19089.693
533;Verde;Opel;85279.468
534;Amarillo;CUPRA;19032.657
535;Negro;Koenigsegg;47470.414
536;Verde;Volkswagen;99986.165
537;Rojo;AlfaRomeo;25319.733
538;Rojo;Polestar;5841.869
539;Blanco;CUPRA;59989.136
540;Amarillo;Infiniti;9881.437
541;Azul;Mitsubishi;78831.228
542;Azul;Opel;43705.66
543;Negro;AlfaRomeo;83658.589
544;Amarillo;Peugeot;88863.214
545;Blanco;Honda;28304.322
546;Azul;Jaguar;2365.214
547;Blanco;Ferrari;52747.356
548;Verde;Toyota;46139.877
549;Negro;Lotus;96654.676
550;Rojo;SsangYong;67834.887
551;Rojo;KIA;8875.921
552;Negro;Alpine;78498.629
553;Blanco;Porsche;5217.222
554;Rojo;Lotus;63537.919
555;Amarillo;AstonMartin;912.072
556;Blanco;Hyundai;73619.372
557;Amarillo;Lamborghini;69976.448
558;Amarillo;Lexus;78201.901
559;Rojo;Tesla;16649.717
560;Amarillo;Peugeot;37193.926
561;Azul;Ford;7135.947
562;Verde;KIA;96543.637
563;Verde;Volkswagen;17813.434
564;Negro;Peugeot;36804.068
565;Negro;AstonMartin;41102.749
566;Blanco;Alpine;74964.472
567;Blanco;Jeep;26591.281
568;Azul;McLaren;18890.798
569;Negro;Mazda;64309.681
570;Rojo;Rolls-Royce;10043.569
571;Verde;LandRover;72933.557
572;Verde;Smart;27901.115
573;Negro;CUPRA;89021.607
574;Blanco;Ferrari;12558.034
575;Amarillo;SEAT;57265.303
576;Verde;Rivian;38827.542
577;Blanco;Abarth;56369.093
578;Amarillo;AstonMartin;24075.119
579;Verde;Audi;13045.568
580;Negro;LandRover;5859.494
581;Amarillo;MINI;27325.678
582;Azul;Mercedes-Benz;96853.274
583;Blanco;Suzuki;67766.542
584;Amarillo;Opel;30744.526
585;Negro;Mitsubishi;74192.598
586;Rojo;Suzuki;855.09
587;Azul;Infiniti;99520.874
588;Rojo;Hyundai;64711.375
589;Azul;Lamborghini;19377.46
590;Negro;Lotus;24116.672
591;Negro;Ferrari;69175.637
592;Verde;Audi;77435.641
593;Verde;Subaru;30851.021
594;Azul;Alpine;94534.323
595;Azul;McLaren;75476.506
596;Verde;SsangYong;55532.855
597;Verde;KIA;80638.865
598;Verde;Lotus;72320.912
599;Verde;Peugeot;32065.965
600;Amarillo;Lexus;31442.549
601;Rojo;Lotus;4052.496
602;Amarillo;Koenigsegg;42950.588
603;Blanco;CUPRA;1434.43
604;Amarillo;LandRover;91320.944
605;Azul;Pagani;63086.909
606;Negro;SEAT;80352.019
607;Rojo;Honda;41233.377
608;Amarillo;Koenigsegg;67688.634
609;Verde;Toyota;17509.472
610;Negro;Mazda;49426.673
611;Amarillo;Polestar;23164.708
612;Rojo;Koenigsegg;89083.707
613;Amarillo;Renault;41637.512
614;Rojo;Mercedes-Benz;75660.091
615;Negro;Dacia;73820.736
616;Rojo;McLaren;34849.53
617;Rojo;Mazda;93649.734
618;Blanco;Fiat;27660.497
619;Amarillo;Toyota;60384.356
620;Azul;Skoda;28440.391
621;Rojo;Abarth;47499.199
622;Rojo;Porsche;35900.516
623;Azul;KIA;2009.075
624;Verde;Lotus;97257.093
625;Verde;CUPRA;35093.273
626;Azul;CUPRA;7754.145
627;Rojo;Polestar;29983.79
628;Amarillo;McLaren;31028.46
629;Negro;Volkswagen;18378.616
630;Negro;Volkswagen;95112.549
631;Amarillo;Fiat;46447.304
632;Azul;McLaren;84133.699
633;Amarillo;LandRover;17316.914
634;Rojo;Bugatti;26428.688
635;Rojo;Bentley;42452.757
636;Rojo;Volvo;90014.372
637;Negro;Renault;60459.737
638;Azul;Lotus;29982.099
639;Negro;Nissan;31592.313
640;Verde;MINI;87953.731
641;Blanco;Volkswagen;99928.559
642;Verde;Opel;49471.683
643;Azul;Opel;35177.568
644;Rojo;Jeep;4005.001
645;Rojo;Rolls-Royce;42078.61
646;Amarillo;Lexus;86735.642
647;Azul;KIA;19131.335
648;Azul;Skoda;78729.147
649;Amarillo;AlfaRomeo;88972.92
650;Blanco;Hyundai;99464.198
651;Amarillo;Fiat;31281.579
652;Negro;Toyota;94656.564
653;Rojo;Bugatti;64015.544
654;Blanco;Honda;34212.091
655;Amarillo;Toyota;20658.483
656;Azul;Mazda;26015.99
657;Rojo;Bentley;7690.627
658;Rojo;Peugeot;86834.259
659;Blanco;Skoda;37680.735
660;Verde;Citroën;12277.937
661;Rojo;SEAT;76326.612
662;Azul;Citroën;53659.538
663;Azul;CUPRA;15777.296
664;Azul;McLaren;45438.723
665;Amarillo;SEAT;58152.578
666;Rojo;Peugeot;67283.593
667;Amarillo;Opel;21026.093
668;Verde;LandRover;58725.225
669;Negro;Smart;36636.314
670;Verde;McLaren;803.715
671;Negro;Peugeot;26801.189
672;Negro;Alpine;11529.258
673;Rojo;Tesla;81191.408
674;Blanco;SEAT;73634.529
675;Rojo;Bentley;25205.174
676;Amarillo;Peugeot;81884.478
677;Negro;Jaguar;29813.314
678;Blanco;Mercedes-Benz;735.051
679;Negro;Lotus;26223.675
680;Verde;Mazda;3677.565
681;Blanco;AstonMartin;47051.951
682;Rojo;AlfaRomeo;95143.944
683;Azul;KIA;19074.023
684;Verde;Hyundai;21039.393
685;Rojo;Mercedes-Benz;93951.109
686;Rojo;KIA;61161.233
687;Negro;CUPRA;78130.254
688;Verde;Mercedes-Benz;76990.716
689;Azul;Alpine;34182.572
690;Blanco;Lotus;2331.133
691;Amarillo;Ferrari;88091.875
692;Amarillo;Ford;7420.931
693;Amarillo;Jeep;22575.488
694;Amarillo;AstonMartin;14572.088
695;Rojo;Nissan;39723.804
696;Amarillo;Lamborghini;74857.259
697;Amarillo;Porsche;78589.245
698;Rojo;Subaru;40366.45
699;Negro;Nissan;8530.267
700;Verde;Rolls-Royce;49235.677
701;Blanco;Maserati;38000.691
702;Rojo;KIA;24863.72
703;Negro;McLaren;74135.386
704;Negro;Koenigsegg;25013.796
705;Blanco;CUPRA;1174.247
706;Verde;Volvo;39067.627
707;Negro;DS;67928.5
708;Amarillo;LandRover;55469.828
709;Verde;Renault;55756.111
710;Amarillo;Abarth;18968.73
711;Verde;Koenigsegg;50692.327
712;Verde;Alpine;85910.616
713;Azul;Jaguar;45481.35
714;Rojo;Lotus;12550.648
715;Rojo;Bugatti;20467.291
716;Verde;Tesla;77765.711
717;Rojo;Abarth;85005.445
718;Azul;Lexus;29039.438
719;Azul;Pagani;33815.437
720;Azul;Dacia;35173.289
721;Amarillo;Mercedes-Benz;83269.378
722;Azul;Polestar;46582.013
723;Verde;Rolls-Royce;90932.554
724;Negro;Mitsubishi;74667.668
725;Negro;Mazda;34880.129
726;Blanco;Audi;55730.932
727;Amarillo;Citroën;86717.278
728;Rojo;Opel;16957.076
729;Blanco;Lexus;70336.007
730;Blanco;BMW;96679.299
731;Azul;Fiat;65941.096
732;Rojo;SEAT;27534.21
733;Azul;SsangYong;21648.972
734;Rojo;Tesla;88130.867
735;Azul;Honda;41073.307
736;Negro;Rolls-Royce;89991.046
737;Verde;Lexus;60013.695
738;Rojo;Bentley;45006.915
739;Azul;Peugeot;36100.194
740;Negro;Ferrari;62413.298
741;Blanco;SsangYong;96645.837
742;Azul;CUPRA;40882.85
743;Rojo;Lexus;8837.804
744;Verde;McLaren;43108.745
745;Rojo;Mitsubishi;6759.589
746;Azul;Nissan;89113.851
747;Blanco;Abarth;77772.847
748;Azul;BMW;57177.651
749;Negro;Tesla;39877.263
750;Verde;Renault;94050.328
751;Blanco;Honda;37376.459
752;Rojo;Opel;70062.335
753;Amarillo;Infiniti;17261.317
754;Azul;DS;60560.382
755;Rojo;Koenigsegg;88120.65
756;Blanco;Alpine;38216.91
757;Negro;Pagani;89231.884
758;Negro;Peugeot;46267.795
759;Amarillo;Citroën;34087.48
760;Azul;Rolls-Royce;20417.043
761;Verde;Subaru;31480.516
762;Negro;Pagani;96480.55
763;Amarillo;Lexus;12096.109
764;Negro;Honda;95983.592
765;Verde;KIA;213.532
766;Negro;AstonMartin;16726.262
767;Rojo;BMW;11683.082
768;Negro;Jeep;68322.802
769;Verde;Volkswagen;41055.978
770;Amarillo;Nissan;12127.301
771;Verde;Lotus;25056.291
772;Amarillo;MINI;73689.662
773;Azul;Rolls-Royce;56119.906
774;Amarillo;Honda;56539.807
775;Amarillo;Smart;30303.288
776;Azul;Smart;65959.984
777;Rojo;Dacia;77488.298
778;Negro;Opel;47447.186
779;Rojo;Pagani;59669.715
780;Verde;AlfaRomeo;8450.609
781;Blanco;Jaguar;73588.654
782;Blanco;Smart;55040.115
783;Verde;Infiniti;37633.846
784;Amarillo;Skoda;73456.062
785;Blanco;Infiniti;27527.879
786;Azul;Fiat;85731.45
787;Blanco;DS;90788.292
788;Blanco;Alpine;29173.93
789;Blanco;Ford;73432.784
790;Rojo;Audi;51545.862
791;Rojo;MINI;33200.191
792;Rojo;Mercedes-Benz;82070.092
794;Blanco;Nissan;67390.437
795;Verde;Jeep;16956.26
796;Negro;Maserati;40488.847
797;Rojo;AlfaRomeo;11687.237
798;Rojo;Nissan;88153.844
799;Negro;Lotus;8009.306
800;Azul;Lamborghini;72441.919
801;Rojo;Maserati;58806.155
802;Rojo;KIA;46898.152
803;Rojo;Audi;2227.941
804;Negro;Honda;47014.182
805;Negro;Bentley;90788.524
806;Azul;Honda;64098.692
807;Negro;Lexus;35711.348
808;Negro;Ford;74702.916
809;Amarillo;AlfaRomeo;32571.496
810;Amarillo;Abarth;65953.859
811;Negro;Mitsubishi;66966.212
812;Blanco;Toyota;97261.221
813;Negro;Bugatti;95809.31
